Country,City,AccentCity,Region,Population,Latitude,Longitude
lr,bandaini,Bandaini,5,,8.4058333,-10.2461111
lr,bandajuma,Bandajuma,12,,6.7833333,-11.3
lr,bandakolo,Bandakolo,12,,6.9333333,-11.2833333
lr,bandeineen,Bandeineen,5,,8.435,-10.065
lr,bandela,Bandela,12,,7.1663889,-10.9313889
lr,bandila,Bandila,5,,8.3333333,-10.1833333
lr,bando,Bando,12,,6.9130556,-11.4202778
lr,bando,Bando,5,,7.0233333,-10.8352778
lr,banersville,Banersville,14,,6.3666667,-10.7333333
lr,bang town,Bang Town,2,,6.2361111,-8.0619444
lr,banga,Banga,5,,7.2777778,-10.0636111
lr,banga sioquelle,Banga Sioquelle,1,,7.2888889,-9.2180556
lr,bange,Bange,12,,7.1166667,-10.7833333
lr,bango,Bango,9,,7.0552778,-8.6713889
lr,bangoma,Bangoma,12,,7.0833333,-11.2102778
lr,bangwe,Bangwe,9,,7.1063889,-8.5213889
lr,bangye,Bangye,5,,7.5061111,-9.5569444
lr,bani,Bani,10,,5.1833333,-9.2833333
lr,bani,Bani,11,,5.8666667,-9.6333333
lr,banjao,Banjao,14,,6.4072222,-10.795
lr,banka,Banka,1,,6.8902778,-10.3327778
lr,banokoita,Banokoita,5,,7.2333333,-10.0833333
lr,bansu,Bansu,1,,6.9333333,-10.0666667
lr,banti,Banti,5,,7.3333333,-10.4833333
lr,bantohn,Bantohn,11,,5.9094444,-9.7061111
lr,banwei,Banwei,5,,8.1475,-10.1461111
lr,banyata,Banyata,5,,7.1911111,-10.2097222
lr,banyohn,Banyohn,11,,6.4,-9.6833333
lr,banzu,Banzu,1,,7.2666667,-9.5666667
lr,bao,Bao,2,,6.0775,-8.6125
lr,bao town,Bao Town,2,,5.8186111,-7.6344444
lr,baobli,Baobli,2,,5.8752778,-7.6030556
lr,baoja,Baoja,15,,6.8363889,-10.9505556
lr,bapa,Bapa,11,,6.0666667,-9.6666667
lr,bapa,Bapa,9,,7.5775,-8.5580556
lr,bapakwali,Bapakwali,11,,6.1394444,-10.3213889
lr,bapie,Bapie,9,,7.1772222,-8.5597222
lr,baple,Baple,9,,6.9358333,-8.7719444
lr,bapo,Bapo,11,,6.4163889,-9.4125
lr,bapubli,Bapubli,11,,6.2666667,-9.8333333
lr,barake,Barake,13,,4.4966667,-7.6622222
lr,barclay,Barclay,15,,6.8902778,-10.8030556
lr,barclay farm,Barclay Farm,14,,6.3,-10.6833333
lr,barclaysville,Barclaysville,11,,6.1666667,-10.2333333
lr,barclayville,Barclayville,16,,4.6797222,-8.2338889
lr,barclayville,Barclayville,11,,6.165,-10.2455556
lr,barclayville (3),Barclayville (3),11,,6.1666667,-10.25
lr,barclayville (4),Barclayville (4),11,,6.15,-10.2333333
lr,barduah,Barduah,11,,5.8758333,-9.9241667
lr,barekling,Barekling,14,,6.3333333,-10.7333333
lr,barh town,Barh Town,11,,6.3766667,-9.1583333
lr,barkey,Barkey,18,,5.6636111,-9.4994444
lr,barmo,Barmo,15,,6.9136111,-10.8980556
lr,baroma,Baroma,5,,7.8855556,-10.1205556
lr,barota,Barota,15,,6.8333333,-10.5
lr,barseegiah,Barseegiah,11,,6.3386111,-9.6363889
lr,barwalor quarter,Barwalor Quarter,1,,6.9958333,-9.4702778
lr,basa,Basa,18,,5.9308333,-9.1875
lr,basagia,Basagia,11,,6.3377778,-9.6361111
lr,basai,Basai,1,,6.9333333,-9.7333333
lr,basanai,Basanai,5,,7.4983333,-9.6247222
lr,basenga,Basenga,11,,6.15,-9.75
lr,basibli,Basibli,11,,6.5833333,-9.25
lr,basika,Basika,1,,6.8,-9.8666667
lr,baso,Baso,13,,4.6833333,-7.6666667
lr,basobli,Basobli,2,,6.4666667,-8.6
lr,basome,Basome,11,,6.3,-9.6666667
lr,bassa,Bassa,10,,4.7833333,-8.4
lr,bassa bwa,Bassa Bwa,11,,6.1158333,-10.3708333
lr,bassa community,Bassa Community,14,,6.3,-10.8
lr,bassa community,Bassa Community,12,,6.7519444,-11.3780556
lr,bassa community,Bassa Community,1,,6.9933333,-9.4730556
lr,bassa town,Bassa Town,14,,6.3833333,-10.6166667
lr,basu,Basu,5,,7.2911111,-10.4202778
lr,basu,Basu,1,,7.3166667,-9.3666667
lr,baswa,Baswa,2,,6.2708333,-7.9380556
lr,batabli,Batabli,14,,6.5069444,-10.7844444
lr,bataca,Bataca,5,,7.635,-10.4830556
lr,batagizi,Batagizi,5,,7.8833333,-9.5833333
lr,batakole,Batakole,5,,7.2161111,-9.9394444
lr,batato,Batato,9,,6.9141667,-8.5344444
lr,batesu,Batesu,5,,8.4058333,-10.1202778
lr,batiabli,Batiabli,11,,5.7133333,-9.8080556
lr,batim,Batim,9,,6.6741667,-8.7691667
lr,bato,Bato,10,,5.0822222,-9.0708333
lr,bato,Bato,18,,6.085,-9.2544444
lr,batoa,Batoa,15,,6.8175,-10.9294444
lr,batonwe,Batonwe,9,,7.6655556,-8.6836111
lr,batra town,Batra Town,11,,6.0166667,-10.0027778
lr,batro,Batro,17,,6.2166667,-10.3666667
lr,batu,Batu,9,,6.6555556,-8.9697222
lr,bau,Bau,2,,5.9413889,-8.8611111
lr,bau,Bau,15,,6.6830556,-10.6711111
lr,bauakla,Bauakla,17,,6.6911111,-10.155
lr,baubli,Baubli,2,,5.9063889,-7.7194444
lr,bauh,Bauh,2,,5.8875,-8.8277778
lr,bauwabli,Bauwabli,11,,6.2166667,-9.6333333
lr,bauwema,Bauwema,5,,7.8572222,-10.5594444
lr,bavlehn,Bavlehn,17,,6.2,-10.35
lr,bawadla,Bawadla,11,,6.1166667,-9.6666667
lr,bawata,Bawata,1,,7.2825,-9.1833333
lr,bawe,Bawe,1,,6.7394444,-9.2066667
lr,bawe town,Bawe Town,2,,5.8133333,-7.7252778
lr,bawebli,Bawebli,11,,5.8833333,-9.75
lr,bawehn,Bawehn,11,,6.05,-10.2
lr,bawehn,Bawehn,17,,6.2702778,-10.3238889
lr,baweima,Baweima,12,,6.9308333,-11.3008333
lr,bawfeng,Bawfeng,17,,6.6166667,-9.9833333
lr,bawia,Bawia,2,,5.4052778,-7.9161111
lr,bawin,Bawin,11,,6.3333333,-9.6166667
lr,bawin,Bawin,9,,7.1833333,-8.65
lr,bawirike,Bawirike,2,,5.0241667,-7.6575
lr,bawita,Bawita,1,,6.6166667,-9.7666667
lr,bawita,Bawita,11,,6.6277778,-9.7386111
lr,bawni,Bawni,11,,6.1666667,-9.8666667
lr,bawolobo,Bawolobo,2,,4.9633333,-7.8488889
lr,bawomai,Bawomai,5,,8.4747222,-9.9211111
lr,bawrekon,Bawrekon,2,,5.3738889,-7.7863889
lr,bawzone,Bawzone,18,,5.7894444,-9.2077778
lr,bayake,Bayake,2,,4.8333333,-7.7333333
lr,bayalu,Bayalu,17,,6.6594444,-10.1030556
lr,baye,Baye,9,,7.11,-8.7355556
lr,bayepea,Bayepea,9,,6.9413889,-8.7475
lr,bayila,Bayila,9,,7.4055556,-8.8025
lr,baylaybo,Baylaybo,2,,5.6794444,-7.6083333
lr,bayo town,Bayo Town,14,,6.3752778,-10.7294444
lr,bayobli,Bayobli,11,,6.05,-9.95
lr,baypon town,Baypon Town,17,,6.2294444,-10.5225
lr,bayubli,Bayubli,11,,6.45,-9.9166667
lr,bazagizia,Bazagizia,5,,8.3588889,-9.8347222
lr,bazin,Bazin,11,,6.0433333,-9.865
lr,bazohn,Bazohn,2,,5.9852778,-8.1808333
lr,bazohn,Bazohn,11,,6.1669444,-10.335
lr,bazohnbli,Bazohnbli,11,,6.0333333,-9.85
lr,be anna,Be Anna,15,,6.8119444,-10.8286111
lr,be baba,Be Baba,15,,6.6166667,-10.9333333
lr,be boakai,Be Boakai,15,,6.6047222,-10.675
lr,be boi kali,Be Boi Kali,5,,6.9730556,-10.7738889
lr,be buakai,Be Buakai,14,,6.5169444,-10.6505556
lr,be cooper,Be Cooper,15,,6.65,-10.7
lr,be crusoe,Be Crusoe,15,,6.5705556,-10.9313889
lr,be dean,Be Dean,15,,6.8633333,-10.8561111
lr,be devon,Be Devon,15,,6.9486111,-10.9408333
lr,be fefe,Be Fefe,15,,6.65,-10.7333333
lr,be flomo,Be Flomo,5,,6.8861111,-10.7511111
lr,be gbogbo,Be Gbogbo,14,,6.5641667,-10.4619444
lr,be gbomgba,Be Gbomgba,15,,6.6475,-10.8813889
lr,be gibson,Be Gibson,15,,6.95,-10.8166667
lr,be goba,Be Goba,14,,6.4947222,-10.4405556
lr,be gole,Be Gole,15,,6.7597222,-10.8469444
lr,be gungo,Be Gungo,15,,6.6602778,-10.7352778
lr,be hama,Be Hama,17,,6.4333333,-10.45
lr,be hoff,Be Hoff,15,,6.8572222,-10.7905556
lr,be hoi lekpe,Be Hoi Lekpe,15,,6.5997222,-10.8883333
lr,be jaja,Be Jaja,8,,7.0166667,-10.7333333
lr,be johnson,Be Johnson,8,,7.0333333,-10.85
lr,be kahnle,Be Kahnle,8,,6.9666667,-10.7666667
lr,be kato,Be Kato,14,,6.55,-10.45
lr,be kena,Be Kena,15,,6.5666667,-10.8833333
lr,be kung,Be Kung,14,,6.6041667,-10.5402778
lr,be mawi,Be Mawi,15,,6.9019444,-10.8422222
lr,be mole,Be Mole,15,,6.8813889,-10.8072222
lr,be momo saki,Be Momo Saki,15,,6.9666667,-10.9333333
lr,be momodi,Be Momodi,15,,6.6855556,-10.8316667
lr,be nawan,Be Nawan,5,,7.2,-10.65
lr,be nor,Be Nor,15,,6.8011111,-10.965
lr,be parker,Be Parker,5,,7.0438889,-10.8636111
lr,be reeves,Be Reeves,15,,6.9333333,-10.8
lr,be robert,Be Robert,15,,6.8227778,-10.9119444
lr,be sagi,Be Sagi,14,,6.5225,-10.4663889
lr,be sali,Be Sali,15,,6.5811111,-10.8916667
lr,be sato,Be Sato,14,,6.7541667,-10.5036111
lr,be seke,Be Seke,15,,6.5666667,-10.9166667
lr,be seku,Be Seku,15,,6.7211111,-10.8575
lr,be sie,Be Sie,15,,6.7058333,-10.8844444
lr,be suawo,Be Suawo,15,,6.6333333,-10.7
lr,be taa,Be Taa,15,,6.7327778,-10.695
lr,be tape,Be Tape,15,,6.9330556,-10.8252778
lr,be tobo,Be Tobo,15,,6.6444444,-10.6238889
lr,be town,Be Town,9,,7.2219444,-8.6922222
lr,be vincent,Be Vincent,15,,6.7975,-10.9041667
lr,be william,Be William,15,,6.8616667,-10.7944444
lr,be williams,Be Williams,12,,7.0666667,-10.8666667
lr,be zawana,Be Zawana,12,,7.1833333,-10.9333333
lr,be ziema,Be Ziema,5,,7.15,-10.7333333
lr,be zolon,Be Zolon,15,,6.6166667,-10.9
lr,be zwai,Be Zwai,15,,6.6538889,-10.7136111
lr,bea,Bea,11,,6.1333333,-9.5
lr,bea,Bea,12,,6.7166667,-11
lr,bea,Bea,15,,6.8161111,-10.7319444
lr,bea,Bea,9,,7.2097222,-8.6388889
lr,bea gate,Bea Gate,12,,7.15,-11.0333333
lr,beaden,Beaden,5,,7.5211111,-10.3972222
lr,beadi,Beadi,13,,4.4144444,-7.8019444
lr,beahfinnie,Beahfinnie,15,,6.8613889,-10.8986111
lr,beaja,Beaja,15,,6.8252778,-10.8494444
lr,beang,Beang,15,,6.5405556,-10.9152778
lr,beasemby,Beasemby,15,,6.6055556,-10.6130556
lr,beasot,Beasot,11,,5.8166667,-9.7
lr,beawu,Beawu,5,,8.3,-9.65
lr,beaytuo,Beaytuo,9,,6.7619444,-8.5019444
lr,beayukes,Beayukes,15,,6.6252778,-10.775
lr,beble,Beble,9,,7.1808333,-8.4958333
lr,bebli,Bebli,9,,7.1013889,-8.8933333
lr,bebu,Bebu,5,,8.15,-10.3666667
lr,bedaja,Bedaja,12,,7.1644444,-11.2425
lr,bedezea,Bedezea,5,,8.0805556,-9.8575
lr,bedi,Bedi,17,,6.5666667,-10.1
lr,beeplay,Beeplay,9,,6.9841667,-8.5791667
lr,beezohn,Beezohn,2,,5.9902778,-8.0838889
lr,begiabon,Begiabon,9,,7.1711111,-8.4425
lr,begobli,Begobli,11,,6.2333333,-9.5833333
lr,begondeh,Begondeh,12,,7.1975,-10.7775
lr,begondo,Begondo,12,,7.1080556,-10.9327778
lr,behn,Behn,11,,5.8158333,-9.9230556
lr,behnji,Behnji,9,,7.0736111,-8.9513889
lr,behwen,Behwen,12,,6.9666667,-11.25
lr,bei sono,Bei Sono,9,,7.2775,-8.6938889
lr,beibli,Beibli,15,,6.5536111,-10.8194444
lr,beih,Beih,9,,7.0286111,-8.8691667
lr,beipa,Beipa,9,,7.1,-9.0166667
lr,bejokehn,Bejokehn,2,,5.3413889,-8.1647222
lr,bekela,Bekela,15,,6.9358333,-10.9463889
lr,belage,Belage,9,,7.1202778,-8.5883333
lr,bele,Bele,9,,6.2302778,-8.9105556
lr,bele town,Bele Town,9,,6.2969444,-8.9263889
lr,belefanai,Belefanai,17,,6.5133333,-10.0277778
lr,belefanai,Belefanai,1,,6.6827778,-9.5927778
lr,belefuanai,Belefuanai,1,,6.7333333,-9.5833333
lr,belekoya,Belekoya,1,,7.1530556,-9.2769444
lr,belekro,Belekro,9,,7.4,-8.6166667
lr,belemu,Belemu,1,,7.1972222,-9.21
lr,belemu,Belemu,9,,7.6533333,-8.5597222
lr,belevani,Belevani,1,,7.26,-9.4352778
lr,beli town,Beli Town,2,,6.0441667,-8.1130556
lr,belibalamu,Belibalamu,5,,7.5708333,-9.9738889
lr,belifine,Belifine,17,,6.7186111,-9.7252778
lr,belijama,Belijama,5,,8.4188889,-9.8255556
lr,belita,Belita,5,,7.3058333,-10.2583333
lr,beliyela,Beliyela,5,,7.3763889,-9.9983333
lr,belle quarter,Belle Quarter,5,,7.1475,-10.4838889
lr,bellorken,Bellorken,16,,4.6166667,-8.1833333
lr,belokehn,Belokehn,13,,4.6183333,-8.1783333
lr,bema,Bema,1,,6.6,-9.7166667
lr,ben johnsonbli,Ben Johnsonbli,11,,6.0333333,-9.9
lr,ben loganbli,Ben Loganbli,11,,6.0908333,-10.2041667
lr,ben loganbli (2),Ben Loganbli (2),11,,6.0833333,-10.2166667
lr,ben town,Ben Town,11,,5.6977778,-9.8272222
lr,ben town,Ben Town,17,,6.2141667,-10.5119444
lr,benama,Benama,15,,6.6177778,-10.8416667
lr,benbli,Benbli,11,,5.8333333,-9.8833333
lr,benbu,Benbu,11,,6.1,-10.0333333
lr,benda,Benda,17,,6.5333333,-10.3358333
lr,benda,Benda,5,,7.0816667,-10.7572222
lr,bendata,Bendata,1,,7.0166667,-10.1666667
lr,bendenbu,Bendenbu,5,,8.2694444,-10.1802778
lr,bendo,Bendo,16,,4.8305556,-8.7261111
lr,bendoma,Bendoma,12,,7.1969444,-10.9975
lr,bendu,Bendu,12,,6.7630556,-11.2133333
lr,bene,Bene,12,,6.8511111,-11.0227778
lr,benekpalala,Benekpalala,9,,7.0522222,-9.0119444
lr,beneta,Beneta,1,,7.0480556,-9.3308333
lr,benewehn,Benewehn,11,,6.1888889,-10.2672222
lr,beng,Beng,9,,7.2847222,-8.6505556
lr,bengizima,Bengizima,5,,7.7666667,-9.45
lr,benglogo,Benglogo,11,,6.0138889,-9.7408333
lr,bengolahun,Bengolahun,5,,8.1736111,-10.1472222
lr,benicoleh,Benicoleh,1,,6.7452778,-9.46
lr,beniwehn,Beniwehn,11,,6.2486111,-10.2936111
lr,beniwehn session,Beniwehn Session,11,,6.2333333,-10.2833333
lr,beniwin,Beniwin,11,,6.3166667,-10.2166667
lr,benja,Benja,15,,6.6175,-10.9861111
lr,benono,Benono,11,,6.3711111,-9.5588889
lr,bensa,Bensa,1,,6.9255556,-10.1327778
lr,bensonville,Bensonville,11,,5.9166667,-9.9666667
lr,bensonville,Bensonville,14,32970,6.4461111,-10.6125
lr,benswa,Benswa,14,,6.4197222,-10.6091667
lr,benyola,Benyola,9,,7.2466667,-8.6819444
lr,beon,Beon,17,,6.2166667,-10.35
lr,bepeo,Bepeo,9,,6.9986111,-8.7141667
lr,bernard farm,Bernard Farm,5,,7.5713889,-9.5186111
lr,berry farm,Berry Farm,12,,6.9333333,-11
lr,bersula,Bersula,9,,7.2333333,-8.9666667
lr,besaki,Besaki,15,,6.9791667,-10.9308333
lr,besali,Besali,15,,6.5833333,-10.8833333
