"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
48,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",9,"Gôh",29,"Oumé",48,"Oumé","",NA,"","Sous-préfecture","Sub-prefecture"
49,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",10,"Lôh-Djiboua",30,"Divo",49,"Divo","",NA,"","Sous-préfecture","Sub-prefecture"
50,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",10,"Lôh-Djiboua",30,"Divo",50,"Hire","",NA,"","Sous-préfecture","Sub-prefecture"
51,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",10,"Lôh-Djiboua",31,"Guitry",51,"Guitry","",NA,"","Sous-préfecture","Sub-prefecture"
52,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",10,"Lôh-Djiboua",32,"Lakota",52,"Lakota","",NA,"","Sous-préfecture","Sub-prefecture"
53,57,"CIV","Côte d'Ivoire",5,"Gôh-Djiboua",10,"Lôh-Djiboua",32,"Lakota",53,"Zikisso","",NA,"","Sous-préfecture","Sub-prefecture"
54,57,"CIV","Côte d'Ivoire",6,"Lacs",11,"Bélier",33,"Didievi",54,"Didievi","",NA,"","Sous-préfecture","Sub-prefecture"
55,57,"CIV","Côte d'Ivoire",6,"Lacs",11,"Bélier",33,"Didievi",55,"Tie-N'diekro","",NA,"","Sous-préfecture","Sub-prefecture"
56,57,"CIV","Côte d'Ivoire",6,"Lacs",11,"Bélier",34,"Djekanou",56,"Kokoumbo","",NA,"","Sous-préfecture","Sub-prefecture"
57,57,"CIV","Côte d'Ivoire",6,"Lacs",11,"Bélier",35,"Tiebissou",57,"Tiebissou","",NA,"","Sous-préfecture","Sub-prefecture"
58,57,"CIV","Côte d'Ivoire",6,"Lacs",11,"Bélier",36,"Toumodi",58,"Toumodi","",NA,"","Sous-préfecture","Sub-prefecture"
59,57,"CIV","Côte d'Ivoire",6,"Lacs",12,"Iffou",37,"Daoukro",59,"Daoukro","",NA,"","Sous-préfecture","Sub-prefecture"
60,57,"CIV","Côte d'Ivoire",6,"Lacs",12,"Iffou",37,"Daoukro",60,"Ettrokro","",NA,"","Sous-préfecture","Sub-prefecture"
61,57,"CIV","Côte d'Ivoire",6,"Lacs",12,"Iffou",37,"Daoukro",61,"Ouelle","",NA,"","Sous-préfecture","Sub-prefecture"
62,57,"CIV","Côte d'Ivoire",6,"Lacs",12,"Iffou",38,"M'Bahiakro",62,"M'Bahiakro","",NA,"","Sous-préfecture","Sub-prefecture"
63,57,"CIV","Côte d'Ivoire",6,"Lacs",12,"Iffou",39,"Prikro",63,"Prikro","",NA,"","Sous-préfecture","Sub-prefecture"
64,57,"CIV","Côte d'Ivoire",6,"Lacs",13,"Moronou",40,"Arrah",64,"Arrah","",NA,"","Sous-préfecture","Sub-prefecture"
65,57,"CIV","Côte d'Ivoire",6,"Lacs",13,"Moronou",41,"Bongouanou",65,"Bongouanou","",NA,"","Sous-préfecture","Sub-prefecture"
66,57,"CIV","Côte d'Ivoire",6,"Lacs",13,"Moronou",42,"M’Batto",66,"M'batto","",NA,"","Sous-préfecture","Sub-prefecture"
67,57,"CIV","Côte d'Ivoire",6,"Lacs",13,"Moronou",42,"M’Batto",67,"Tiemelekro","",NA,"","Sous-préfecture","Sub-prefecture"
68,57,"CIV","Côte d'Ivoire",6,"Lacs",14,"N'zi",43,"Bocanda",68,"Bocanda","",NA,"","Sous-préfecture","Sub-prefecture"
69,57,"CIV","Côte d'Ivoire",6,"Lacs",14,"N'zi",44,"Dimbokro",69,"Dimbokro","",NA,"","Sous-préfecture","Sub-prefecture"
70,57,"CIV","Côte d'Ivoire",6,"Lacs",14,"N'zi",45,"Kouassi-Kouassikro",70,"Kouassikro","",NA,"","Sous-préfecture","Sub-prefecture"
71,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa",46,"Agboville",71,"Agboville","",NA,"","Sous-préfecture","Sub-prefecture"
72,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa",46,"Agboville",72,"Azaguie","",NA,"","Sous-préfecture","Sub-prefecture"
73,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa",46,"Agboville",73,"Rubino","",NA,"","Sous-préfecture","Sub-prefecture"
74,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa",47,"Sikensi",74,"Sikensi","",NA,"","Sous-préfecture","Sub-prefecture"
75,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa",48,"Taabo",75,"Taabo","",NA,"","Sous-préfecture","Sub-prefecture"
76,57,"CIV","Côte d'Ivoire",7,"Lagunes",15,"Agnéby-Tiassa",49,"Tiassalé",76,"Tiassalé","",NA,"","Sous-préfecture","Sub-prefecture"
77,57,"CIV","Côte d'Ivoire",7,"Lagunes",16,"Grands Ponts",50,"Dabou",77,"Dabou","",NA,"","Sous-préfecture","Sub-prefecture"
78,57,"CIV","Côte d'Ivoire",7,"Lagunes",16,"Grands Ponts",51,"Grand-Lahou",78,"Grand-Lahou","",NA,"","Sous-préfecture","Sub-prefecture"
79,57,"CIV","Côte d'Ivoire",7,"Lagunes",16,"Grands Ponts",52,"Jacqueville",79,"Jacqueville","",NA,"","Sous-préfecture","Sub-prefecture"
80,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé",53,"Adzope",80,"Adzope","",NA,"","Sous-préfecture","Sub-prefecture"
81,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé",53,"Adzope",81,"Agou","",NA,"","Sous-préfecture","Sub-prefecture"
82,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé",54,"Akoupe",82,"Affery","",NA,"","Sous-préfecture","Sub-prefecture"
83,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé",54,"Akoupe",83,"Akoupe","",NA,"","Sous-préfecture","Sub-prefecture"
84,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé",55,"Alépé",84,"Alépé","",NA,"","Sous-préfecture","Sub-prefecture"
85,57,"CIV","Côte d'Ivoire",7,"Lagunes",17,"La Mé",56,"Yakasse-Attobrou",85,"Yakasse-Attobrou","",NA,"","Sous-préfecture","Sub-prefecture"
86,57,"CIV","Côte d'Ivoire",8,"Montagnes",18,"Cavally",57,"Blolequin",86,"Blolequin","",NA,"","Sous-préfecture","Sub-prefecture"
87,57,"CIV","Côte d'Ivoire",8,"Montagnes",18,"Cavally",58,"Guiglo",87,"Guiglo","",NA,"","Sous-préfecture","Sub-prefecture"
88,57,"CIV","Côte d'Ivoire",8,"Montagnes",18,"Cavally",59,"Taï",88,"Taï","",NA,"","Sous-préfecture","Sub-prefecture"
89,57,"CIV","Côte d'Ivoire",8,"Montagnes",18,"Cavally",60,"Toulepleu",89,"Toulepleu","",NA,"","Sous-préfecture","Sub-prefecture"
90,57,"CIV","Côte d'Ivoire",8,"Montagnes",19,"Guémon",61,"Bangolo",90,"Bangolo","",NA,"","Sous-préfecture","Sub-prefecture"
91,57,"CIV","Côte d'Ivoire",8,"Montagnes",19,"Guémon",62,"Duékoué",91,"Duékoué","",NA,"","Sous-préfecture","Sub-prefecture"
92,57,"CIV","Côte d'Ivoire",8,"Montagnes",19,"Guémon",63,"Facobly",92,"Facobly","",NA,"","Sous-préfecture","Sub-prefecture"
93,57,"CIV","Côte d'Ivoire",8,"Montagnes",19,"Guémon",64,"Kouibly",93,"Kouibly","",NA,"","Sous-préfecture","Sub-prefecture"
94,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",65,"Biankouma",94,"Biankouma","",NA,"","Sous-préfecture","Sub-prefecture"
95,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",65,"Biankouma",95,"Gbonne","",NA,"","Sous-préfecture","Sub-prefecture"
96,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",66,"Danané",96,"Danané","",NA,"","Sous-préfecture","Sub-prefecture"
97,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",67,"Man",97,"Logouale","",NA,"","Sous-préfecture","Sub-prefecture"
98,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",67,"Man",98,"Man","",NA,"","Sous-préfecture","Sub-prefecture"
99,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",67,"Man",99,"Sangouine","",NA,"","Sous-préfecture","Sub-prefecture"
100,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",68,"Sipilou",100,"Sipilou","",NA,"","Sous-préfecture","Sub-prefecture"
101,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",69,"Zouan-Hounien",101,"Bin-Houye","",NA,"","Sous-préfecture","Sub-prefecture"
102,57,"CIV","Côte d'Ivoire",8,"Montagnes",20,"Tonkpi",69,"Zouan-Hounien",102,"Zouan-Hounien","",NA,"","Sous-préfecture","Sub-prefecture"
103,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",70,"Daloa",103,"Bediala","",NA,"","Sous-préfecture","Sub-prefecture"
104,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",70,"Daloa",104,"Daloa","",NA,"","Sous-préfecture","Sub-prefecture"
105,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",70,"Daloa",105,"Gboguhe","",NA,"","Sous-préfecture","Sub-prefecture"
106,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",71,"Issia",106,"Issia","",NA,"","Sous-préfecture","Sub-prefecture"
107,57,"CIV","Côte d'Ivoire",9,"Sassandra-Marahoué",21,"Haut-Sassandra",71,"Issia",107,"Saioua","",NA,"","Sous-préfecture","Sub-prefecture"
